epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,119.561,1.43561,0.52949,0.9921,0.99292,1,0.995,0.58625,1.46629,0.49456,1.08722,0.0011684,0.0011684,0.0011684
44,121.435,1.41146,0.52916,1.02661,0.9984,1,0.995,0.57134,1.49997,0.50461,1.08162,0.0011486,0.0011486,0.0011486
45,123.395,1.45419,0.53715,1.01247,0.99585,1,0.995,0.57587,1.50039,0.49743,1.08193,0.0011288,0.0011288,0.0011288
46,125.249,1.45246,0.53269,1.03036,0.99934,1,0.995,0.57965,1.47053,0.48476,1.08361,0.001109,0.001109,0.001109
47,127.12,1.45502,0.51841,1.04268,0.98853,0.99288,0.99489,0.57919,1.49016,0.50068,1.09431,0.0010892,0.0010892,0.0010892
48,129.03,1.48411,0.53516,1.01776,0.95335,0.97509,0.98964,0.56984,1.48171,0.5309,1.07647,0.0010694,0.0010694,0.0010694
49,130.943,1.43713,0.53133,1.0131,0.96641,0.75801,0.93773,0.49863,1.56293,0.61148,1.10636,0.0010496,0.0010496,0.0010496
50,132.832,1.43781,0.52382,1.02509,0.97188,0.73789,0.818,0.43684,1.62526,0.66692,1.13764,0.0010298,0.0010298,0.0010298
51,134.719,1.42536,0.52337,0.99726,0.98419,0.68683,0.73365,0.40505,1.6331,0.77201,1.17009,0.00101,0.00101,0.00101
52,136.614,1.43113,0.52582,1.01766,1,0.74534,0.85011,0.47001,1.56114,0.67023,1.10845,0.0009902,0.0009902,0.0009902
53,138.54,1.38217,0.50471,1.01237,0.98556,0.94662,0.99136,0.56302,1.49552,0.53614,1.08152,0.0009704,0.0009704,0.0009704
54,140.382,1.35795,0.50561,1.02059,0.99936,1,0.995,0.56598,1.49304,0.50145,1.08054,0.0009506,0.0009506,0.0009506
55,142.291,1.40246,0.51787,1.01179,0.99911,1,0.995,0.57131,1.48951,0.52591,1.07486,0.0009308,0.0009308,0.0009308
56,144.162,1.40294,0.51655,1.00082,0.99765,1,0.995,0.57596,1.46552,0.48957,1.07669,0.000911,0.000911,0.000911
57,146.087,1.42273,0.5168,1.01131,0.99796,1,0.995,0.56689,1.48882,0.48621,1.08682,0.0008912,0.0008912,0.0008912
