epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,32.2384,1.43753,0.61202,1.01627,0.99948,1,0.995,0.57875,1.4582,0.56638,1.052,0.0011486,0.0011486,0.0011486
45,32.8515,1.42625,0.61022,0.98786,0.9995,1,0.995,0.58871,1.45286,0.555,1.04822,0.0011288,0.0011288,0.0011288
46,33.4876,1.41802,0.61402,1.00041,0.99965,1,0.995,0.57593,1.47299,0.56595,1.05155,0.001109,0.001109,0.001109
47,34.1092,1.44631,0.62767,1.01445,0.9995,1,0.995,0.56519,1.4712,0.58902,1.05237,0.0010892,0.0010892,0.0010892
48,34.7364,1.45699,0.60559,0.99123,0.99966,1,0.995,0.59639,1.42501,0.53414,1.03339,0.0010694,0.0010694,0.0010694
49,35.3901,1.43897,0.58238,0.99737,0.99968,1,0.995,0.5934,1.43515,0.5481,1.0367,0.0010496,0.0010496,0.0010496
50,36.0764,1.42192,0.57133,1.00749,0.9997,1,0.995,0.59157,1.43738,0.55545,1.03796,0.0010298,0.0010298,0.0010298
51,36.7073,1.4118,0.58515,0.98237,0.9997,1,0.995,0.58575,1.44936,0.54283,1.0392,0.00101,0.00101,0.00101
52,37.3635,1.43296,0.59539,0.99901,0.99964,1,0.995,0.58128,1.4642,0.5708,1.04079,0.0009902,0.0009902,0.0009902
53,37.9912,1.39194,0.601,0.99455,0.99961,1,0.995,0.5739,1.46917,0.56998,1.0386,0.0009704,0.0009704,0.0009704
54,38.6151,1.37287,0.59576,1.0065,0.99966,1,0.995,0.5702,1.48796,0.55639,1.04548,0.0009506,0.0009506,0.0009506
55,39.2615,1.41352,0.58798,0.99988,0.99956,1,0.995,0.5817,1.47629,0.53397,1.04693,0.0009308,0.0009308,0.0009308
56,39.9236,1.41682,0.59495,0.99234,0.99963,1,0.995,0.57455,1.47098,0.55392,1.05471,0.000911,0.000911,0.000911
57,40.5284,1.44192,0.58861,0.99813,0.99953,1,0.995,0.57558,1.46362,0.54242,1.05058,0.0008912,0.0008912,0.0008912
58,41.1417,1.37074,0.56458,1.01041,0.99963,1,0.995,0.5837,1.45422,0.53124,1.04374,0.0008714,0.0008714,0.0008714
59,41.7802,1.39762,0.57728,0.97245,0.99963,1,0.995,0.589,1.4412,0.52854,1.03749,0.0008516,0.0008516,0.0008516
60,42.424,1.43103,0.5858,1.00908,0.99971,1,0.995,0.58101,1.44921,0.52741,1.03971,0.0008318,0.0008318,0.0008318
61,43.0724,1.4051,0.57562,0.96181,0.99968,1,0.995,0.58273,1.44937,0.52162,1.03911,0.000812,0.000812,0.000812
62,43.7022,1.3812,0.56693,0.97918,0.9997,1,0.995,0.58615,1.44469,0.50896,1.03946,0.0007922,0.0007922,0.0007922
63,44.3382,1.41198,0.58147,1.01148,0.99953,1,0.995,0.58835,1.44752,0.51264,1.04079,0.0007724,0.0007724,0.0007724
64,44.9691,1.37399,0.56661,0.97749,0.9995,1,0.995,0.57625,1.46332,0.52704,1.04621,0.0007526,0.0007526,0.0007526
65,45.6403,1.36561,0.55348,0.97748,0.99959,1,0.995,0.57537,1.45612,0.52084,1.0434,0.0007328,0.0007328,0.0007328
66,46.2723,1.36705,0.56054,0.97462,0.99967,1,0.995,0.57517,1.46466,0.51234,1.04515,0.000713,0.000713,0.000713
67,46.899,1.38734,0.54732,0.9499,0.99968,1,0.995,0.57902,1.46491,0.51101,1.04534,0.0006932,0.0006932,0.0006932
68,47.5392,1.38355,0.55816,0.97853,0.99967,1,0.995,0.57572,1.46845,0.50823,1.04678,0.0006734,0.0006734,0.0006734
69,48.1843,1.41448,0.56503,1.00257,0.99961,1,0.995,0.5772,1.46209,0.50708,1.04462,0.0006536,0.0006536,0.0006536
70,48.8349,1.37889,0.55324,0.98241,0.99963,1,0.995,0.58224,1.44881,0.5122,1.04277,0.0006338,0.0006338,0.0006338
71,49.4865,1.40286,0.55589,1.01617,0.99966,1,0.995,0.58033,1.45085,0.51409,1.04459,0.000614,0.000614,0.000614
72,50.149,1.39491,0.56785,1.0095,0.99965,1,0.995,0.58528,1.44649,0.5045,1.0374,0.0005942,0.0005942,0.0005942
73,50.7626,1.37947,0.54524,1.01387,0.99969,1,0.995,0.58256,1.46267,0.50204,1.04171,0.0005744,0.0005744,0.0005744
74,51.3914,1.40739,0.54518,0.999,0.99974,1,0.995,0.57884,1.47125,0.50791,1.04577,0.0005546,0.0005546,0.0005546
75,52.0483,1.35406,0.54654,0.96378,0.99969,1,0.995,0.58306,1.45586,0.5017,1.04118,0.0005348,0.0005348,0.0005348
76,52.7183,1.34806,0.53429,0.98735,0.99963,1,0.995,0.59094,1.45335,0.49516,1.04008,0.000515,0.000515,0.000515
77,53.3575,1.40315,0.56231,1.01297,0.99963,1,0.995,0.59049,1.4579,0.49915,1.04165,0.0004952,0.0004952,0.0004952
78,54.0532,1.34588,0.53821,0.9662,0.9997,1,0.995,0.58632,1.46671,0.49836,1.04443,0.0004754,0.0004754,0.0004754
79,54.6771,1.34839,0.53708,0.98066,0.99971,1,0.995,0.58025,1.47959,0.49631,1.0479,0.0004556,0.0004556,0.0004556
80,55.3213,1.3514,0.53052,0.97557,0.99963,1,0.995,0.58738,1.46071,0.49012,1.04225,0.0004358,0.0004358,0.0004358
81,55.9638,1.32191,0.53856,0.98547,0.99963,1,0.995,0.58443,1.4591,0.48615,1.044,0.000416,0.000416,0.000416
82,56.5851,1.35044,0.5361,0.97325,0.99965,1,0.995,0.57878,1.47006,0.49176,1.05074,0.0003962,0.0003962,0.0003962
83,57.2225,1.36194,0.53652,0.96952,0.99968,1,0.995,0.57189,1.47584,0.49825,1.05344,0.0003764,0.0003764,0.0003764
84,57.9132,1.33422,0.52172,0.97709,0.99965,1,0.995,0.57896,1.47334,0.49848,1.04924,0.0003566,0.0003566,0.0003566
85,58.5508,1.33224,0.52355,0.97585,0.99972,1,0.995,0.58506,1.46922,0.49027,1.04618,0.0003368,0.0003368,0.0003368
86,59.1921,1.34442,0.51909,1.00459,0.99972,1,0.995,0.58803,1.46784,0.48777,1.04584,0.000317,0.000317,0.000317
